Id,twitter,polarity,score,text
486.0,todo mundo sabe q a hidroxicloroquina ajudou a recuperar numerosos infectados pelo coronavirus. alguém aí sabe de algum infectado que tenha morrido em consequência de efeitos colaterais do uso correto do medicamento?,-1.0,0,todo mundo saber q hidroxicloroquina ajudar recuperar numeroso infectado coronavirus alguém aí saber algum infectado morrer consequência efeito colateral uso correto medicamento
299.0,helder barbalho rei do norte por favor venha aqui e pegue o meu pulmão pra continuares combatendo o coronavírus,-1.0,0,helder barbalho rei norte favor vir aqui pegar pulmão pra continuar combater coronavíru
28.0,"@davialcolumbredemagogia é se fazer de preocupado com o bem do povo e não abrir mão da mamata eleitoral!esse dinheiro é do povo e não de vocês, canalhas!faça numa pesquisa e veja se o povo tá afim de patrocinar essa mamata!seja homem !https://t.co/cggevbwi2l",-1.0,0,fazer preocupado bem povo abrir mão mamata eleitoralessar dinheiro povo canalhasfaço pesquisa ver povo estar afim patrocinar mamataseja homem
289.0,feminicídios em casa dobram em sp durante quarentena por coronavirus https://t.co/diyz45xxka https://t.co/bbqpsasqwe,-1.0,0,feminicídio casa dobrar sp durante quarentena coronaviru
6.0,wilson witzel com coronavírus - recorde de mortes no rj e br- 90% das utis ocupadas em hospital referência municipal- 70% das uti ocupadas na rede estadual- hospitais de campanha não estão prontos- estudo prevê isolamento intermitente até 2022vamos levar a sério?,-1.0,0,wilson witzel coronavíru recorde morte rj br uti ocupar hospital referência municipal uti ocupar rede estadual hospital campanha pronto estudo prever isolamento intermitente ir levar sério
369.0,o brasil tem 14.026 pessoas que já se curaram do coronavírus. uma boa notícia em meio a tantas negativas. graças a deus.,1.0,1,brasil pessoa curar coronavíru bom notícia meio tanto negativo graças deu
211.0,"declarações irresponsáveis ás vezes custam caro. as pessoas mais jovens, além de poderem ser transmissoras assintomáticas, correm risco de ter complicações graves quando expostas a altas cargas do coronavírus. não se arrisque e nem às outras pessoas. se puder, fique em casa! https://t.co/nxxsjy4hj3",-1.0,0,declaração irresponsável ás vez custar caro pessoa jovem além poder ser transmissor assintomático correr risco ter complicação grave expor alto carga coronavíru arrisquir outro pessoa poder ficar casa
258.0,"em yekwana, wapichana, yanomami, taurepang pemon e taurepang, indígenas dão dicas para evitar contágio da doença @ufrroficialhttps://t.co/kcjimexsa2",1.0,1,yekwana wapichano yanomami taurepang pemon taurepang indígena dar dica evitar contágio doença
260.0,"enquanto onyx lorenzoni, a escória da política gaúcha, faz sabujos elogios ao governo, a família bolsonaro e seus sequazes, moro, guedes, salles et caterva terraplanista, vão enterrando o país. 204 mortos! eles são os coveiros do brasil, dançando com os caixões do coronavírus... https://t.co/ru0zvfjptd",-1.0,0,enquanto onyx lorenzoni escória política gaúcho fazer sabujo elogio governo família bolsonaro sequaz morar guede salle et caterva terraplanista ir enterrar país matar coveiro brasil dançar caixão coronavíru
257.0,em tempos de #quarentena #covid19 #coronavirus as demais doenças não deixaram de existir. todo cuidado é importante. #diabetes #diagnostico #procureummedico https://t.co/6lin5zdghv,1.0,1,tempo demais doença deixar existir todo cuidado importante
565.0,ONU alerta que 265 milhões de pessoas correm o risco de morrerem à fome https://t.co/y2FYpedbyf,-1.0,0,onu alertar milhão pessoa correr risco morrer fome
68.0,#coronavírus: mais um exemplo do esforço brasileiro no combate à covid-19. uma equipe de cientistas da unesp descobriu um gene humano que pode ter relação com a maior evidência de pacientes homens e idosos infectados pelo coronavírus https://t.co/e76cm1lg6l,1.0,1,exemplo esforço brasileiro combater covid equipe cientista unesp descobrir gene humano poder ter relação grande evidência paciente homem idoso infectar coronavíru
24.0,"@blogdonoblat é o 14° ano q o partido  (pdt) desse senhor governa o pobre amapá, antes do coronavírus já faltava o básico nos hospitais estaduais como gazes e até luvas. então podemos concluir q estão há 14anos trocando o pneudo carro com o carro em movimento. quanta incompetência vc não acha?",-1.0,0,ano q partido pdt dar senhor governar pobre amapá antes coronavíru faltar básico hospital estadual gaz luva então poder concluir q ano trocar pneudo carro carro movimento quanto incompetência vc achar
131.0,ai o meu doutorzinho está com o coronavirus 💔,1.0,1,ai doutorzinho coronaviru
313.0,"islândia, tailândia, alemanha, nova zelândia, finlândia, islândia e dinamarca: sabem o que estes países têm em comum? são comandados por mulheres e foram apontados como exemplos de gestão de crise de saúde do coronavírus. #elasporelas #portodasnóshttps://t.co/j7bmpcac5n",1.0,1,islândia tailândia alemanho novo zelândia finlândio islândio dinamarca saber país ter comum comandar mulher apontar exemplo gestão crise saúde coronavíru
236.0,"é preciso dar mais acesso ao mercado de trabalho, tanto aos jovens quanto aos mais velhos.vamos desburocratizar e flexibilizar as relações trabalhistas para promover o emprego e o crescimento econômico.@novonacamara @partidonovo30#coronavirus #covid19#santacatarina https://t.co/dpmp0zyh38",1.0,1,preciso dar acesso mercado trabalho tanto jovem quanto velhodver desburocratizar flexibilizar relação trabalhista promover emprego crescimento econômico
562.0,"O Instituto Nacional de Saúde recebeu, hoje (17.07), kits de testagem rápido do novo #Coronavirus, doados pela empresa de telefonia móvel, @VodacomMz. Leia mais aqui 👉https://t.co/zMYAjvxypu https://t.co/PSCEPszqxg",1.0,1,instituto nacional saúde receber hoje kit testagem rápido novo doar empresa telefonia móvel ler aqui
559.0,"A @unb_oficial vai participar do ensaio clínico nacional para testar a eficácia da vacina contra o #coronavírus em humanos. Desenvolvida pela farmacêutica chinesa Sinovac Biotech, a chamada CoronaVac está em fase de testes e será aplicada em 9 mil voluntários de todo o país. https://t.co/BnYps89fAr",1.0,1,ir participar ensaio clínico nacional testar eficácia vacina contra humano desenvolver farmacêutica chinês sinovac biotech chamar coronavar fase teste aplicar mil voluntário todo país
224.0,donald trump dizendo que a oms não avisou sobre a gravidade do coronavirus. eu tô gaitando. é muita cara de pau!,-1.0,0,donald trump dizer oms avisar sobre gravidade coronavirus ter gaitar muito cara pau
170.0,bom dia brasileiro ignorante e burro que tá falando que água tônica protege de coronavírus porque tem quinino que é base de cloroquina.,-1.0,0,bom dia brasileiro ignorante burro estar falar água tônico proteger coronavíru porque quinino base cloroquino
203.0,coronavírus infecta equipes do samu recife e deixa pelo menos 98 profissionais fora de combate à covid-19https://t.co/c7mpl3hrqz https://t.co/b8feds9ht4,-1.0,0,coronavíru infectar equipe samu recife deixar pouco profissional combate covid
17.0,"os gestores de todo o país vão precisa informar o número de leitos e quantos estão ocupados por pacientes infectados pelo coronavírus. se esses dados não forem repassados, a polícia federal poderá fazer uma blitz https://t.co/vteaup5oxq #jornaldarecord #jr24h",-1.0,0,gestor todo país ir precisar informar número leito quanto ocupar paciente infectar coronavíru dar repassar polícia federal poder fazer blitz
470.0,"segundo o líder militar americano o peso da evidência aponta pra origem natural do coronavírus: https://t.co/88eyecrllk o que não quer dizer que vai ser possível saber sua origem, com a china restringindo pesquisa e publicação sobre isso: https://t.co/f7qxswwnl8",-1.0,0,segundo líder militar americano peso evidência apontar pra origem natural coronavíru querer dizer ir ser possível saber origem chino restringir pesquisa publicação sobre
59.0,"#bolsonarotemrazao vão vendo... alguns governantes, ferrenhos defensores do isolamento, estão sendo infectados pelo coronavírus, mas o presidente jair bolsonaro que, segundo a imprensa vermelha, vive saçaricando por aí está mais tranquilo que “água de poço”!!!",-1.0,0,ir ver algum governante ferrenho defensor isolamento ser infectar coronavíru presidente jair bolsonaro segundo imprensa vermelho viver saçaricar aí tranquilo água poço
242.0,editorial do washington post.e d i t o r i a l.não é artigo de opinião de colunista.título:líderes arriscam vidas ao minimizar o vírus. bolsonaro é o pior. https://t.co/ad8zphfzjj,-1.0,0,editorial washington poste d i t r i lnão artigo opinião colunistatulolítuder arriscar vida minimizar vírus bolsonaro mau
103.0,a equipe do deputado @genpeternelli fez um levantamento de todas as ações divulgadas pelo governo de combate ao alastramento do #coronavirus. saiba quais no link:https://t.co/h432aawfcj https://t.co/h432aawfcj,-1.0,0,equipe deputado fazer levantamento todo ação divulgar governo combater alastramento saber qual link
166.0,"boas notícias: 478.503 pessoas curadas de coronavírus no mundo 14.026 curadas de coronavírus no brasil. avisem ao mandetta, ele não soube responder.muitos países europeus já estão relaxando a quarentena. comércio reabrindo.deus abençoe a todos 🙏🏼",1.0,1,bom notícia pessoa curar coronavíru mundo curar coronavíru brasil avisar mandetta saber respondermuito país europeu relaxar quarentena comércio reabrindoder abençoar todo
432.0,"pela primeira vez, o brasil ultrapassou duzentas mortes por coronavírus em apenas 24 horas. esse número ainda não é o topo da curva e irá piorar. se puder, fique em casa. você pode impedir a propagação desse vírus.#fiqueemcasa",-1.0,0,primeira vez brasil ultrapassar duzento morte coronavíru apenas hora número ainda topo curva ir piorar poder ficar casa poder impedir propagação de esse vírus
133.0,alcolumbre disse que transferir o fundão para o combate ao coronavírus é demagogia. falou ainda que está defendendo a democracia. o fundo especial de financiamento de campanha foi criado em 2017. antes disso não havia democracia?,-1.0,0,alcolumbre dizer transferir fundão combate coronavíru demagogia falar ainda defender democracia fundo especial financiamento campanha criar antes de isso haver democracia
33.0,@estadaopolitica @jairbolsonaro o banco mundial não acha de todo ruim e até citou uma ação do governo bolsonaro como exemplo: a redução de burocracia para importação de produtos que combatem o coronavírus.https://t.co/yucte3wtyt https://t.co/3igsbmqmsu,-1.0,0,banco mundial achar todo ruim citar ação governo bolsonaro exemplo redução burocracia importação produto combater coronavíru
365.0,"o amor nos tempos do coronavírus... ou a morte nos tempos do coronavírus, por rita almeida https://t.co/k9l2w6xpr2 https://t.co/ncpbbkkwev",1.0,1,amor tempo coronavíru morte tempo coronavíru rito almeida
438.0,"pico do coronavírus no brasil será entre maio e junho, diz mandetta.faz assim, a gente deixa o pico em aberto, daí quanto a gente atingir o pico, a gente dobra o pico. -dilma mandetta rousseff.",-1.0,0,pico coronavíru brasil maio junho dizer mandettafaz assim gente deixar pico abrir de aí quanto gente atingir pico gente dobrar pico dilmo mandetto rousseff
356.0,"no rio grande do sul, a preocupação com o coronavírus é tanta que até cavalos estão usando máscaras. tudo ideia de um reciclador para incentivar a população de se proteger contra a doença. #borabrasil #bandjornalismo https://t.co/nmho0j8o1u",1.0,1,rio grande sul preocupação coronavíru tanto cavalo usar máscara tudo ideia reciclador incentivar população proteger contra doença
344.0,"na semana passada, publiquei sobre a primeira-recém nascida do brasil a testar positivo para covid-19. estava na uti neonatal do santa joana, local onde se contaminou após nascer. ontem, a notícia boa: a pequena rebeca recebeu alta https://t.co/freie2maf7",1.0,1,semana passado publicuar sobre primeirarecém nascida brasil testar positivo covid uti neonatal santo joana local onde contaminar após nascer ontem notícia bom pequeno rebeca receber alta
240.0,editorial do washington post afirmando que bolsonaro é o pior líder do mundo. não é o texto de um colunista. é a opinião da empresa. https://t.co/2kwjio06xj,-1.0,0,editorial washington post afirmar bolsonaro mau líder mundo texto colunista opinião empresa
168.0,"bolsonaro é o pior entre os líderes mundiais que minimizam coronavírus, diz washington post https://t.co/owb457d0lz https://t.co/halfyeyjci",-1.0,0,bolsonaro mau líder mundial minimizar coronavíru dizer washington post
367.0,o brasil chegou a um ponto tão absurdo que entender que a quarentena é essencial para a não propagação do coronavírus é coisa de comunista...,-1.0,0,brasil chegar ponto tão absurdo entender quarentena essencial propagação coronavíru coisa comunista
436.0,pessoal! estou ao vivo na @cbnoficial falando sobre as ações do senado federal no combate ao coronavírus. conto com a audiência de vocês! https://t.co/ozvzvrwofy,1.0,1,pessoal vivo falar sobre ação senado federal combater coronavíru conto audiência
178.0,cbf discute 35 modelos para o brasileirão após pandemia do novo coronavírus https://t.co/92mcev7b3b,1.0,1,cbf discutir modelo brasileirão após pandemia novo coronavíru
50.0,"em um país sério ele seria preso, processado, julgado e condenado, bolsonaro trouxe o coronavírus no aerovid-19 (aerococa), pegou o resultado por duas vezes testando positivo e fez questão de disseminar a doença em brasília. País não sério: o aras comandando a pgr arquivaria.",-1.0,0,país sério prender processar julgar condenar bolsonaro trazer coronavíru aerovid aerococa pegar resultado dois vez testar positivo fazer questão disseminar doença brasílio país sério aro comandar pgr arquivar
106.0,"a gizelly foi abraçar a fernanda e ela o coronavírus, meu deus... ai desculpa!!!!!!!!!!!!!!!!essa mulher vai matar a globo inteira. hahahahahhahaha #redebbb #bbb20 https://t.co/lebi4wg3fa",1.0,1,gizellyar abraçar fernanda coronavíru deu ai desculpar mulher ir matar globo inteiro hahahahahhahaha
537.0,"Líderes da UE se reúnem para discutir fundo contra pandemia\n#COVIDー19 #coronavirus #coronavirusnobrasil\n\n- Mais notícias no #RedeTVNews, às 19h30\nhttps://t.co/rzmUjWvVs5",1.0,1,líder ue reunir discutir fundo contra pandemian em n notícia hn
275.0,este homem não devia governar nem a própria casa! ele representa tudo o que a humanidade tem de errado!!!brasil atribui aumento da desflorestação na amazónia ao novo coronavírus https://t.co/qvymqnzypb,-1.0,0,homem dever governar próprio casa representar tudo humanidade erradobrasil atribuir aumento desflorestação amazónia novo coronavíru
2.0,"#fiqueatento! ⚖️ plenário julga, nesta quarta-feira (15), por videoconferência, ações relacionadas às medidas de combate ao #coronavírus. https://t.co/t6veb1ehcc",1.0,1,plenário julgar em este quartafeiro videoconferência ação relacionar medida combate
237.0,e se a gente pedir pro coronavirus dar uma pausa so pra gente ter festa junina e dps ele volta,1.0,1,gente pedir pro coronavir dar pausa so pra gente ter festa junino de o volta
429.0,pastor evangélico dos eua que desafiou regras de distanciamento social morre de covid-19 https://t.co/kd84ghxnrb #g1 https://t.co/fhvhacett6,-1.0,0,pastor evangélico eua desafiar regra distanciamento social morrer covid
13.0,"o brasil precisa de um plano de estímulo mais agressivo, como o plano marshall foi para a europa após a segunda guerra? #coronavirus https://t.co/omp0chfwpr",-1.0,0,brasil precisar plano estímulo agressivo plano marshall europo após segundo guerra
45.0,que bagunça... jair bolsonaro mata mais que o coronavírus. queria estar surpreso,-1.0,0,bagunça jair bolsonaro matar coronavíru querer estar surpreso
193.0,comissão externa debate ações preventivas ao coronavírus. https://t.co/4wvdaxui0o,1.0,1,comissão externo debate ação preventivo coronavíru
229.0,é #fake que vídeo mostre hospital de campanha da unicamp sem nenhum atendimento | coronavírus | g1 https://t.co/gnlivtcppj. bolsomínios e suas fakes ridículas!,-1.0,0,vídeo mostrar hospital campanha unicamp nenhum atendimento coronavíru g bolsomínio fake ridículo
353.0,"nesses tempos difíceis, vamos praticar mais a generosidade? a @cureamarina precisa de vc! #covid19 #coronavirus #generosidade #cureamarina #ajuda #zolgensma #atrofiamuscularespinhal",1.0,1,nesse tempo difícil ir praticar generosidade precisar vc
185.0,"chocados com o que o washington post disse no seu editorial? desde quando é novidade que o bolsonero é o pior líder global a lidar com o coronavírus?agora é vergonha mundial como nunca antes. não se brinca com a vida das pessoas desse jeito, agora aguenta aí",-1.0,0,chocar washington post dizer editorial desde novidade bolsonero mau líder global lidar coronavírusagora vergonha mundial nunca antes brincar vida pessoa de esse jeito agora aguentar aí
393.0,"o mundo tá acabando e tem gente ainda achando que pão é o vilão. minha gente vilão é coronavirus, é bolsonaro, é quem votou no bolsonaro...o coitado do pão é só comida mesmo.",-1.0,0,mundo estar acabar gente ainda achar pão vilão gente vilão coronaviru bolsonaro votar bolsonaroo coitar pão comer
34.0,"@evacalina desde há 2 dias ?! isto agora mudou imenso... uma variedade de temas, deixou de ser enjoativo, ora vê: - covid-19 - pandemia- coronavirus- surto- vacina- testes pronto, acho que disse todos, ufa !!! 😛",-1.0,0,desde dia agora mudar imenso variedade tema deixar ser enjoativo ora ver covid pandemia coronaviru surto vacina teste pronto achar dizer todo ufa
585.0,Turuçu está sem casos ativos de coronavírus https://t.co/qA6pAl6ocd https://t.co/tDFOVslfL6,1.0,1,turuçu caso ativo coronavíru
40.0,eu a d o r o o ar professoral com que o asno @osmarterra ensina o burrico @bolsonarosp . tá sabendo mais do que as autoridades sobre a curva. esqueceu só q não se sabe se o #coronavirus faz o corpo criar anticorpos e os bolsominions saem falando como se sim.,-1.0,0,d r ar professoral asno ensinar burrico estar saber autoridade sobre curva esquecer q saber fazer corpo criar anticorpo bolsominiom sair falar sim
575.0,Era só esse coronavirus sumir e ter uns rock legal pra curtir pelas night do RJ,1.0,1,coronavir sumir ter um rock legal pra curtir night rj
324.0,"mandetta com essa entrevista mostrou falta de caráter, não teve um comportamento de homem, mas sim de um traidor. https://t.co/wtbr7r8pi4",-1.0,0,mandetta entrevista mostrar falta caráter comportamento homem sim traidor
52.0,só lembrando que o vírus que provoca o resfriado comum também é do tipo coronavirus.,-1.0,0,lembrar vírus provocar resfriado comum tipo coronaviru
478.0,"sobre o debate da letalidade do h1n1 x coronavírus apresento a revisão mais consistente de trabalhos científicos publicados sobre o assunto, mostrando que a letalidade do h1n1 pode ser muito maior do que admite a oms. https://t.co/ued5t9w9qr",-1.0,0,sobre debate letalidade hn x coronavíru apresentar revisão consistente trabalho científico publicar sobre assunto mostrar letalidade hn poder ser grande admitir oms
473.0,"sem aulas presenciais por conta da pandemia do coronavírus, estudantes que não têm internet em casa estão sem acesso a videoaulas. e, com o enem mantido para novembro, muitos veem desigualdade na preparação para as provas. leia a reportagem ➜ https://t.co/rvl93lzkas https://t.co/gfq4qq8bs7",-1.0,0,aula presencial contar pandemia coronavíru estudante ter internet casa acesso videoaulo enem manter novembro muito ver desigualdade preparação prova ler reportagem
210.0,"de acordo com a polícia militar, a marca dos testes negociados por fernandinho mariano seria a mesma de lotes roubados no aeroporto de guarulhos nesta semana https://t.co/zpgsntdeyc",-1.0,0,acordo polícia militar marcar teste negociar fernandinho mariano mesmo lote roubar aeroporto guarulho em este semana
112.0,"à medida que o mundo combate a pandemia de #covid19, secretário-geral das @nacoesunidas alertou para uma “epidemia” paralela. Segundo @antonioguterres, existe uma “perigosa epidemia de desinformação” que ameaça o enfrentamento ao novo #coronavírus.🔘 https://t.co/wlpoxjx4yb https://t.co/5xcwbfxtak",-1.0,0,medida mundo combater pandemia secretáriogeral alertar epidemia paralelo segundo existir perigoso epidemia desinformação ameaçar enfrentamento novo
364.0,"o @minsaude divulga, pela primeira vez, o número de pessoas recuperadas do #coronavírus, até 14/04:▶️25.262 pacientes diagnosticados p/ #covid-19▶️1.532 óbitos▶️9.704 pacientes internados▶️14.026 recuperados",1.0,1,divulgar primeira vez número pessoa recuperar paciente diagnosticar p óbito paciente internar recuperar
483.0,tecnologia de apple e google que pretende alertar sobre o contágio do novo coronavírus: o que se sabe até agora | tecnologia | g1 https://t.co/xp9unufjvt,1.0,1,tecnologia apple google pretender alertar sobre contágio novo coronavíru saber agora tecnologia g
220.0,"dinheiro - coronavírus: fmi prevê défice de 7,1% em portugal este ano https://t.co/prcfsvmbb3",-1.0,0,dinheiro coronavíru fmi prever défice portugal ano
563.0,Grafites de Banksy sobre coronavírus são removidos do metrô de Londres https://t.co/6YewWI6wn2,-1.0,0,grafite banksy sobre coronavíru remover metrô londre
186.0,cientistas de santa catarina dizem que pronunciamento “de alguma autoridade nacional” pode ter afetado curva do coronavírus no brasil. íntegra do estudo https://t.co/0zSQTanpwT,-1.0,0,cientista santo catarina dizer pronunciamento algum autoridade nacional poder ter afetar curva coronavíru brasil íntegra estudo
423.0,"parabéns, sen. soraya thronicke (psl/ms) por estar a favor de usar o dinheiro do fundo eleitoral para combater o novo coronavírus (covid-19) @sorayathronicke @vemprarua_br https://t.co/bup7bfacrm #fundãoparaasaúde",1.0,1,parabéns sen soraya thronicke pslmar estar favor usar dinheiro fundo eleitoral combater novo coronavíru covid
81.0,#todesacocheiode tanto ouvir a palavra coronavírus. https://t.co/82l3aqtfda,1.0,1,tanto ouvir palavra coronavíru
471.0,Solidariedade em tempos de covid-19. Mais de 200 médicos cubanos chegaram a África do Sul para auxiliar o país no combate ao novo coronavirus. https://t.co/PWriysIzzm',1.0,1,solidariedade tempo covid médico cubano chegar áfrica sul auxiliar país combater novo coronaviru
506.0,"Fico muito triste ao ler que já são 15 motoristas de ônibus da cidade de SP que morreram pela covid-19, sem que governo e empresas dessem a proteção necessária. Já os fascistas fazem carreata pedindo a volta ao trabalho de seus peões para seguir acumulando lucros sobre cadáveres'",-1.0,0,ficar triste ler motorista ônibus cidade sp morrer covid governo empresa de essem proteção necessário fascista fazer carreata pedir volta trabalho peão seguir acumular lucro sobre cadáver
431.0,"patriota que é patriota tem que abrir mão de tratamento contra o coronavírus porque sabe que isso é uma invenção comunista, da globo e da folha de são paulo! enviem essa mensagem adiante! somos o povo de deus! https://t.co/ulxb3cvabv",-1.0,0,patriota patriota abrir mão tratamento contra coronavíru porque saber invenção comunista globo folha paulo enviar mensagem adiante povo deu
387.0,"o governo do rn, ciente dos prejuízos causados ao setor produtivo em razão da pandemia do novo coronavírus (covid-19), resolveu reduzir para 12% a carga tributária da base do cálculo do icms incidente nas operações… https://t.co/dmvalwq8z4",1.0,1,governo rn cientar prejuízo causar setor produtivo razão pandemia novo coronavíru covid resolver reduzir carga tributário base cálculo icm incidente operação
343.0,"na mesma informação: coronavírus: 3/4 das mortes estão dentro dos grupos de risco.a mídia segue espalhando o pânico, colocando tudo sob a pior perspectiva possível. o objetivo é claro! https://t.co/prdzse4et4",-1.0,0,mesmo informação coronavíru morte dentro grupo riscom mídia seguir espalhar pânico colocar tudo sob mau perspectiva possível objetivo claro
553.0,Unifesp articipa de estudo com cinco mil voluntários para vacina contra o coronavírus #HojeEmDia #CoronavírusPlantão https://t.co/SMuc3M90ri,1.0,1,unifesp articipar estudo cinco mil voluntário vacina contra coronavíru
74.0,#defensorasedefensorespúblicosnãoparam#adefensoriaestadualnãopara#defensoriasimcoronavírus: decreto de itaguaí distribui cestas básicas à alunos da rede pública . https://t.co/cgg9zjg06r https://t.co/qe8pxe4too,1.0,1,decreto itaguaí distribuir cesta básico aluno rede público
